,in400,out40,in1000,out1000,in2000,out2000,volume,p_change,turnover,close,inoutspan
2017-07-04,11645393.0,13148839.0,4946665.0,6068411.0,1738780.0,2485777.0,573636.81,-2.21,0.28,23.0,-1503446.0
2017-07-05,24306307.0,17226636.0,13560799.0,9326509.0,7258943.0,4095556.0,783996.94,3.91,0.38,23.9,5576225.0
2017-07-06,11880958.0,16200304.0,5413496.0,7796933.0,1262635.0,3323874.0,624333.0,0.25,0.3,23.96,1256879.0
2017-07-07,11420982.0,19365170.0,4866082.0,10000739.0,2840264.0,4938903.0,632179.88,-2.92,0.31,23.26,-6687309.0
2017-07-10,7761479.0,6552663.0,4011560.0,2187125.0,1597800.0,761004.0,372034.38,0.0,0.18,23.26,-5478493.0
2017-07-11,24555835.0,13724640.0,15029068.0,6155663.0,10435870.0,2021125.0,730383.06,3.52,0.35,24.08,5352702.0
2017-07-12,26027586.0,21451898.0,15128611.0,11128861.0,7624274.0,4673614.0,858003.94,1.08,0.42,24.34,9928390.0
2017-07-13,12365945.0,10190533.0,5285502.0,3599648.0,1986300.0,1287050.0,559404.19,2.3,0.27,24.9,12103802.0
2017-07-14,10769829.0,10854818.0,4729845.0,4716643.0,600629.0,892700.0,508060.28,1.12,0.25,25.18,12018813.0
2017-07-17,18833511.0,16913038.0,8504526.0,7634049.0,2598706.0,3194091.0,709287.5,-0.28,0.34,25.11,13939286.0
2017-07-18,13458616.0,13903782.0,6572358.0,4823443.0,3508323.0,2423400.0,645346.56,-2.35,0.31,24.52,13494120.0
2017-07-19,16716032.0,14473453.0,6304372.0,5841692.0,2993283.0,2118457.0,630770.94,2.85,0.31,25.22,15736699.0
2017-07-20,12139457.0,11865436.0,4974288.0,5069636.0,1806420.0,2461118.0,514337.44,-0.08,0.25,25.2,16010720.0
2017-07-21,4856400.0,6623602.0,2678656.0,2509058.0,709900.0,1281576.0,327647.47,-1.82,0.16,24.74,14243518.0
2017-07-24,21077439.0,11929950.0,11355565.0,5601496.0,6912649.0,3746296.0,625922.0,3.92,0.3,25.71,23391007.0
