,in400,out40,in1000,out1000,in2000,out2000,volume,p_change,turnover,close,inoutspan
2017-07-04,16841689.0,24034483.0,7279089.0,12865889.0,3336218.0,6358822.0,897115.5,-3.3,1.24,30.21,-7192794.0
2017-07-05,13075180.0,9708908.0,5793437.0,4010241.0,2830789.0,945925.0,564808.0,1.79,0.78,30.75,-3826522.0
2017-07-06,8506042.0,11420010.0,2318807.0,4318028.0,0.0,1436568.0,565152.25,0.33,0.78,30.85,-6740490.0
2017-07-07,6137469.0,8500318.0,2274261.0,3003451.0,1220600.0,1097200.0,418317.31,-2.33,0.58,30.13,-9103339.0
2017-07-10,11898758.0,12142517.0,6336930.0,5839352.0,3012363.0,2434747.0,541222.19,-2.39,0.75,29.41,-9347098.0
2017-07-11,17775198.0,11895603.0,10008098.0,5298214.0,6260133.0,3206588.0,686750.94,4.08,0.95,30.61,-3467503.0
2017-07-12,8710988.0,11941022.0,4209868.0,5945132.0,3155792.0,3908007.0,562587.44,-2.94,0.78,29.71,-6697537.0
2017-07-13,9920561.0,9460702.0,4999322.0,4855276.0,1181032.0,2922303.0,495408.53,1.31,0.68,30.1,-6237678.0
2017-07-14,4340560.0,3107908.0,2906756.0,1734603.0,1987706.0,450300.0,304299.41,0.1,0.42,30.13,-5005026.0
2017-07-17,5936081.0,11931283.0,1676425.0,4932691.0,917875.0,2472750.0,490712.03,-1.16,0.68,29.78,-11000228.0
2017-07-18,14272743.0,12653294.0,7195383.0,4784559.0,3033376.0,1936174.0,681116.31,-3.06,0.94,28.87,-9380779.0
2017-07-19,13214651.0,8369741.0,7334837.0,3441392.0,4184357.0,1890439.0,574521.69,3.81,0.79,29.97,-4535869.0
2017-07-20,5455431.0,5919851.0,2031316.0,3293775.0,1148346.0,2244800.0,399975.97,0.1,0.55,30.0,-5000289.0
2017-07-21,15998584.0,14700860.0,6649155.0,6895392.0,2733625.0,3196550.0,671325.75,1.97,0.92,30.59,-3702565.0
2017-07-24,5749731.0,7328137.0,1471198.0,2751402.0,308200.0,1916800.0,462475.81,-0.42,0.64,30.46,-5280971.0
