,in400,out40,in1000,out1000,in2000,out2000,volume,p_change,turnover,close,inoutspan
2017-07-04,11394002.0,17553958.0,8780379.0,12729904.0,6533216.0,9194331.0,488362.53,-0.64,0.29,9.34,-6159956.0
2017-07-05,17544229.0,16362294.0,10696237.0,11362279.0,5904349.0,7453870.0,567720.0,0.32,0.34,9.37,-4978021.0
2017-07-06,33397242.0,20148353.0,29743028.0,15572607.0,23397020.0,10102914.0,738911.81,0.32,0.44,9.4,8270868.0
2017-07-07,33863197.0,21754911.0,26872849.0,16214024.0,19657651.0,10916572.0,760369.62,0.74,0.45,9.47,20379154.0
2017-07-10,55714464.0,44951331.0,44315155.0,34695861.0,35045343.0,26364235.0,1360815.88,1.27,0.8,9.59,31142287.0
2017-07-11,184361337.0,147293844.0,152944468.0,107553777.0,114887544.0,65385814.0,3812086.75,6.88,2.25,10.25,68209780.0
2017-07-12,132260367.0,116730473.0,106998197.0,89019641.0,71189711.0,56316344.0,2998844.25,0.88,1.77,10.34,83739674.0
2017-07-13,146486219.0,109624616.0,118848445.0,81155841.0,90027656.0,57071958.0,2994534.5,5.42,1.77,10.9,120601277.0
2017-07-14,66861251.0,63288131.0,49127321.0,44410104.0,30461115.0,28518075.0,1722570.25,0.0,1.02,10.9,124174397.0
2017-07-17,147107326.0,133588334.0,114431524.0,104617622.0,76789300.0,67317287.0,3273123.25,-0.83,1.93,10.81,137693389.0
2017-07-18,93815334.0,96391338.0,70457458.0,71436593.0,50602472.0,50554966.0,2349431.75,2.22,1.39,11.05,135117385.0
2017-07-19,75540611.0,76412656.0,58578964.0,55731561.0,38828827.0,35554472.0,1933075.88,0.36,1.14,11.09,134245340.0
2017-07-20,55782816.0,60486311.0,41018065.0,45029365.0,27918809.0,30047478.0,1537338.5,-1.08,0.91,10.97,129541845.0
2017-07-21,59435916.0,55144441.0,45301320.0,40967786.0,33170019.0,26465091.0,1501020.0,0.74,0.89,10.89,133833320.0
2017-07-24,70189693.0,62405414.0,52437369.0,41314902.0,35492014.0,25309243.0,1692664.5,0.55,1.0,10.95,141617599.0
