,in400,out40,in1000,out1000,in2000,out2000,volume,p_change,turnover,close,inoutspan
2017-07-04,15380067.0,18274806.0,6022557.0,8162096.0,1837300.0,3810421.0,683920.62,-2.08,0.63,47.92,-2894739.0
2017-07-05,47957089.0,31034714.0,27717300.0,15219652.0,16734399.0,8611488.0,1272537.25,5.22,1.17,50.42,14027636.0
2017-07-06,36737163.0,30187051.0,19453867.0,14450449.0,8732193.0,6312217.0,1137814.75,1.92,1.05,51.39,20577748.0
2017-07-07,10564771.0,11288121.0,3814546.0,4235732.0,1772178.0,956000.0,533926.0,-0.74,0.49,51.01,19854398.0
2017-07-10,13519009.0,12980917.0,6523381.0,5803848.0,1942281.0,863100.0,570776.0,0.23,0.53,51.13,20392490.0
2017-07-11,22956934.0,13110940.0,12556092.0,4804253.0,6886309.0,1273037.0,699539.62,1.28,0.65,51.23,30238484.0
2017-07-12,23313333.0,21626099.0,9347771.0,7823279.0,2988303.0,4143235.0,870117.31,-1.21,0.8,50.61,31925718.0
2017-07-13,15651552.0,14129912.0,6998627.0,3335958.0,3020598.0,205800.0,665343.0,2.02,0.61,51.63,33447358.0
2017-07-14,18944953.0,13616243.0,8428930.0,5298598.0,3709440.0,1498584.0,707791.62,2.21,0.65,52.77,38776068.0
2017-07-17,51300885.0,36688873.0,29547170.0,17957810.0,16523758.0,6049977.0,1408791.38,2.14,1.3,53.9,53388080.0
2017-07-18,20083123.0,24854376.0,6949193.0,12748903.0,2341567.0,6616506.0,879029.5,-0.8,0.81,53.47,48616827.0
2017-07-19,17801766.0,19011757.0,6407496.0,7244828.0,1573100.0,3037765.0,771180.69,0.69,0.71,53.84,47406836.0
2017-07-20,14214104.0,13702163.0,4283402.0,4552099.0,1446102.0,1385800.0,659198.75,0.32,0.61,54.01,47918777.0
2017-07-21,38206013.0,45970444.0,19604637.0,25469437.0,8518627.0,10791422.0,1294791.88,-3.8,1.2,51.96,40154346.0
2017-07-24,27966189.0,25173345.0,13950756.0,11126864.0,6012935.0,3327123.0,904595.94,1.25,0.84,52.61,42947190.0
