,in400,out40,in1000,out1000,in2000,out2000,volume,p_change,turnover,close,inoutspan
2017-07-04,7744558.0,8884363.0,2355304.0,3208135.0,309365.0,1108236.0,510002.56,-0.72,0.81,41.5,-1139805.0
2017-07-05,12181571.0,5878077.0,7018741.0,2276945.0,3617975.0,1459800.0,441306.81,3.47,0.7,42.94,5163689.0
2017-07-06,8183264.0,11870459.0,3363454.0,5781511.0,1207400.0,3464736.0,455667.25,-0.79,0.73,42.6,1476494.0
2017-07-07,6016895.0,9186682.0,3074896.0,3826509.0,1845746.0,1559331.0,405353.59,-2.28,0.65,41.63,-1693293.0
2017-07-10,4045412.0,5447352.0,1176803.0,2909177.0,200200.0,1597449.0,296791.56,-0.62,0.47,41.37,-3095233.0
2017-07-11,19654354.0,12361799.0,9536161.0,6522947.0,3781580.0,2342150.0,686853.12,3.82,1.09,42.95,4197322.0
2017-07-12,4743315.0,8690144.0,1802971.0,4126670.0,997671.0,1645600.0,425620.91,-2.91,0.68,41.7,250493.0
2017-07-13,5429004.0,3290073.0,2366765.0,702600.0,1094264.0,224600.0,276967.59,0.69,0.44,41.99,2389424.0
2017-07-14,3140856.0,2569476.0,1519656.0,975635.0,557200.0,503901.0,231618.58,0.43,0.37,42.17,2960804.0
2017-07-17,7395835.0,11906900.0,3132374.0,5405698.0,666626.0,2459531.0,460487.69,-1.21,0.73,41.66,-1550261.0
2017-07-18,5244186.0,7654166.0,2808986.0,3207210.0,1298250.0,817975.0,375815.25,-1.58,0.6,41.0,-3960241.0
2017-07-19,4513760.0,3606960.0,2595619.0,966600.0,1137509.0,380400.0,315191.78,0.54,0.5,41.22,-3053441.0
2017-07-20,11232164.0,6709965.0,6192740.0,3322966.0,4080690.0,1422600.0,466366.59,2.5,0.74,42.25,1468758.0
2017-07-21,4127962.0,5242290.0,1577517.0,2629963.0,662001.0,307155.0,295039.66,-0.83,0.47,41.9,354430.0
2017-07-24,15885851.0,10509532.0,8790171.0,3277200.0,5436715.0,931600.0,605221.62,3.63,0.96,43.42,5730749.0
