,in400,out40,in1000,out1000,in2000,out2000,volume,p_change,turnover,close,inoutspan
2017-07-04,14308336.0,11504090.0,5758517.0,3981827.0,1217143.0,1692400.0,547783.81,-0.15,3.51,6.86,2804246.0
2017-07-05,24043569.0,14968064.0,10246405.0,4628194.0,4749000.0,1017700.0,741395.94,2.92,4.74,7.06,11879751.0
2017-07-06,25241420.0,25040061.0,13082830.0,13495732.0,5690852.0,6299549.0,892154.75,1.98,5.71,7.2,12081110.0
2017-07-07,23096607.0,20762272.0,12930483.0,8857979.0,5454160.0,4131691.0,785360.69,1.25,5.03,7.29,14415445.0
2017-07-10,10334512.0,17076026.0,3116839.0,6837776.0,624000.0,1800900.0,584316.81,-2.33,3.74,7.12,7673931.0
2017-07-11,13766624.0,22141853.0,5429900.0,10688419.0,1736000.0,5466334.0,665708.19,-4.49,4.26,6.8,-701298.0
2017-07-12,5643191.0,6400825.0,1113075.0,2123980.0,203200.0,261300.0,331010.47,1.18,2.12,6.88,-1458932.0
2017-07-13,4241310.0,7025490.0,1537000.0,3349186.0,0.0,1375200.0,313505.53,-1.45,2.01,6.78,-4243112.0
2017-07-14,3222900.0,3586564.0,915200.0,1377820.0,441200.0,0.0,220552.56,-1.77,1.41,6.64,-4606776.0
2017-07-17,7685658.0,10938237.0,2343000.0,4103320.0,613200.0,970200.0,422863.62,-8.28,2.71,6.09,-7859355.0
2017-07-18,7688100.0,6190500.0,3241200.0,2591200.0,1123500.0,206300.0,319128.62,4.6,2.04,6.37,-6361755.0
2017-07-19,12027161.0,9801581.0,5719282.0,4828300.0,2970301.0,2681400.0,459563.03,2.67,2.94,6.54,-4136175.0
2017-07-20,17747746.0,21065471.0,12636846.0,12856408.0,8590265.0,7624758.0,537650.38,9.94,3.44,7.19,-7453900.0
2017-07-21,81364878.0,60902877.0,64144671.0,43540561.0,45528043.0,30883261.0,1886987.75,3.89,12.08,7.47,13008101.0
2017-07-24,79389311.0,60050459.0,51034929.0,36341950.0,23038003.0,17967936.0,1853898.0,7.5,11.86,8.03,32346953.0
