,in400,out40,in1000,out1000,in2000,out2000,volume,p_change,turnover,close,inoutspan
2017-07-04,2043100.0,6169690.0,825200.0,4701890.0,293700.0,2762400.0,161442.09,-0.76,0.69,5.22,-4126590.0
2017-07-05,8821454.0,4046444.0,5808154.0,2726844.0,4359454.0,1335624.0,220677.69,1.34,0.94,5.29,648420.0
2017-07-06,6808523.0,8321600.0,4047900.0,5667280.0,2169200.0,3373500.0,261023.56,0.57,1.12,5.32,-864657.0
2017-07-07,2536810.0,4440961.0,994200.0,2735100.0,200000.0,1693100.0,155727.88,0.19,0.67,5.33,-2768808.0
2017-07-10,7402841.0,4511428.0,5340920.0,2864150.0,3646449.0,1656100.0,232897.72,0.38,1.0,5.35,122605.0
2017-07-11,5715447.0,10184671.0,3778308.0,7681335.0,1884300.0,5695756.0,245107.55,-1.31,1.05,5.28,-4346619.0
2017-07-12,4113704.0,5093338.0,2602531.0,3131084.0,1146873.0,1393784.0,203073.8,-0.19,0.87,5.27,-5326253.0
2017-07-13,5585313.0,4700742.0,3912172.0,3071290.0,2155400.0,1080800.0,200910.84,1.14,0.86,5.33,-4441682.0
2017-07-14,2836044.0,3862256.0,1836600.0,1784456.0,993200.0,1062858.0,125341.96,0.0,0.54,5.33,-5467894.0
2017-07-17,6707108.0,10680955.0,3812038.0,7380511.0,2026885.0,5201823.0,306497.56,-1.69,1.31,5.24,-9441741.0
2017-07-18,4973492.0,3632570.0,3146570.0,1451661.0,1291191.0,580240.0,163472.67,0.57,0.7,5.27,-8100819.0
2017-07-19,30155582.0,17026800.0,21330165.0,9650331.0,15056692.0,4785696.0,677437.75,4.17,2.9,5.49,5027963.0
2017-07-20,10818806.0,11246069.0,7537714.0,6995100.0,5149214.0,3877300.0,358276.38,-0.18,1.53,5.48,4600700.0
2017-07-21,24053597.0,15453884.0,15260340.0,8817983.0,9251337.0,5522835.0,601656.94,2.19,2.58,5.6,13200413.0
2017-07-24,65503563.0,45874850.0,47661624.0,30410394.0,30872943.0,17549541.0,1485051.5,7.32,6.36,6.01,32829126.0
