,in400,out40,in1000,out1000,in2000,out2000,volume,p_change,turnover,close,inoutspan
2017-07-04,572900.0,641183.0,200400.0,117000.0,0.0,0.0,49931.15,-1.08,0.35,9.12,-68283.0
2017-07-05,281097.0,674578.0,0.0,257389.0,0.0,0.0,50114.35,0.55,0.35,9.17,-461764.0
2017-07-06,385502.0,1460087.0,150100.0,497198.0,0.0,0.0,66470.45,-0.33,0.47,9.14,-1536349.0
2017-07-07,799063.0,3776587.0,355400.0,3124888.0,203200.0,1757800.0,88448.71,-0.55,0.62,9.09,-4513873.0
2017-07-10,604756.0,3419672.0,0.0,1813500.0,0.0,809700.0,98745.36,-1.43,0.69,8.96,-7328789.0
2017-07-11,0.0,1190105.0,0.0,328500.0,0.0,0.0,46230.45,-0.67,0.32,8.9,-8518894.0
2017-07-12,162400.0,1464500.0,0.0,963500.0,0.0,0.0,78662.73,-0.91,0.55,8.72,-9820994.0
2017-07-13,1660804.0,584297.0,476600.0,0.0,0.0,0.0,74578.68,0.34,0.52,8.75,-8744487.0
2017-07-14,516200.0,650800.0,148600.0,437200.0,0.0,0.0,44493.56,0.8,0.31,8.82,-8879087.0
2017-07-17,827112.0,2050012.0,0.0,859320.0,0.0,461100.0,85645.15,-3.06,0.6,8.55,-10101987.0
2017-07-18,644400.0,1091394.0,0.0,0.0,0.0,0.0,76577.98,-2.1,0.54,8.37,-10548981.0
2017-07-19,1178849.0,2560664.0,217500.0,1380772.0,0.0,993300.0,120062.19,0.36,0.84,8.4,-11930796.0
2017-07-20,2275264.0,2948304.0,646772.0,1567999.0,0.0,0.0,113554.11,0.0,0.8,8.4,-12603836.0
2017-07-21,2944202.0,1063700.0,954102.0,436500.0,0.0,0.0,128396.9,3.81,0.9,8.72,-10723334.0
2017-07-24,15795054.0,34141825.0,13618760.0,30644658.0,11687827.0,26470380.0,557817.75,9.98,3.92,9.59,-29070105.0
