,in400,out40,in1000,out1000,in2000,out2000,volume,p_change,turnover,close,inoutspan
2017-07-04,0.0,0.0,0.0,0.0,0.0,0.0,30715.21,0.72,0.48,9.81,0.0
2017-07-05,143500.0,190600.0,0.0,0.0,0.0,0.0,38134.73,0.2,0.6,9.83,-47100.0
2017-07-06,211700.0,287700.0,0.0,0.0,0.0,0.0,46990.73,-0.1,0.74,9.82,-123100.0
2017-07-07,364446.0,67669.0,0.0,0.0,0.0,0.0,49995.43,0.92,0.78,9.91,173677.0
2017-07-10,768567.0,390600.0,0.0,0.0,0.0,0.0,89875.16,1.82,1.41,10.09,551644.0
2017-07-11,313202.0,151163.0,0.0,0.0,0.0,0.0,56161.37,0.3,0.88,10.12,713683.0
2017-07-12,44400.0,368400.0,0.0,0.0,0.0,0.0,45800.72,-1.58,0.72,9.96,389683.0
2017-07-13,87800.0,229500.0,0.0,0.0,0.0,0.0,35762.6,-0.3,0.56,9.93,247983.0
2017-07-14,111700.0,200858.0,0.0,0.0,0.0,0.0,37307.85,0.0,0.58,9.93,158825.0
2017-07-17,195700.0,1146300.0,113400.0,280100.0,0.0,0.0,78725.08,-7.75,1.23,9.16,-791775.0
2017-07-18,87000.0,46471.0,0.0,0.0,0.0,0.0,34070.4,1.31,0.53,9.28,-751246.0
2017-07-19,407600.0,386700.0,0.0,0.0,0.0,0.0,55928.69,6.79,0.88,9.91,-730346.0
2017-07-20,704100.0,649343.0,509500.0,159600.0,509500.0,0.0,69076.85,-0.81,1.08,9.83,-675589.0
2017-07-21,465900.0,220600.0,0.0,0.0,0.0,0.0,48744.7,-0.41,0.76,9.79,-430289.0
2017-07-24,3086400.0,1087993.0,1047000.0,405104.0,0.0,0.0,163916.41,10.01,2.57,10.77,1568118.0
