,in400,out40,in1000,out1000,in2000,out2000,volume,p_change,turnover,close,inoutspan
2017-07-04,2527345.0,4331527.0,840000.0,1246400.0,0.0,579700.0,161912.83,-0.98,0.97,9.07,-1804182.0
2017-07-05,18463330.0,17983635.0,11232775.0,10710180.0,5254100.0,4218550.0,611728.75,-2.54,3.67,8.84,-1324487.0
2017-07-06,10543283.0,6607790.0,6632370.0,3652500.0,3173588.0,1533500.0,320322.38,1.26,1.92,8.83,2611006.0
2017-07-07,2694960.0,4317703.0,1430660.0,2373901.0,487611.0,1011600.0,164969.73,-0.23,0.99,8.81,988263.0
2017-07-10,16913636.0,19241937.0,7975506.0,13521661.0,4194600.0,9900623.0,633402.0,-4.43,3.8,8.42,-1340038.0
2017-07-11,4689371.0,5975851.0,2368197.0,2861483.0,500500.0,560300.0,246871.72,-0.12,1.48,8.41,-2626518.0
2017-07-12,2063578.0,6835850.0,462000.0,4286071.0,462000.0,2965371.0,209532.36,-0.48,1.26,8.37,-7398790.0
2017-07-13,2750437.0,5453830.0,703920.0,3307035.0,256800.0,1917735.0,198811.92,-0.6,1.19,8.32,-10102183.0
2017-07-14,1807539.0,3896400.0,1007939.0,1892900.0,307600.0,556300.0,164684.59,-0.6,0.99,8.27,-12191044.0
2017-07-17,4534036.0,9518541.0,2232408.0,6463679.0,1053000.0,4142248.0,296839.72,-2.54,1.78,8.06,-17175549.0
2017-07-18,5382944.0,2170797.0,2545600.0,534243.0,1944400.0,0.0,204594.94,2.85,1.23,8.29,-13963402.0
2017-07-19,4860154.0,4134941.0,3000880.0,1916586.0,1319829.0,0.0,215152.48,0.96,1.29,8.37,-13238189.0
2017-07-20,6819351.0,5096734.0,3070255.0,1942202.0,1547633.0,600800.0,259740.48,1.07,1.56,8.46,-11515572.0
2017-07-21,63736407.0,102645015.0,49391134.0,83342639.0,34684396.0,68383224.0,1967254.25,10.05,11.82,9.31,-50424180.0
2017-07-24,128093927.0,103838565.0,109021869.0,84505544.0,84139442.0,61777098.0,2601709.0,7.41,15.63,10.0,-26168818.0
