,in400,out40,in1000,out1000,in2000,out2000,volume,p_change,turnover,close,inoutspan
2017-07-04,6885208.0,9974197.0,3766367.0,6132720.0,734730.0,3024926.0,300231.72,-0.79,1.34,5.01,-3088989.0
2017-07-05,5927565.0,7844790.0,4147585.0,5613015.0,1728200.0,3922315.0,241356.08,0.6,1.07,5.04,-5006214.0
2017-07-06,19322487.0,9913113.0,11857145.0,5459700.0,6602488.0,1740282.0,480862.06,1.98,2.14,5.14,4403160.0
2017-07-07,14321241.0,11667260.0,9459761.0,7161730.0,5373145.0,4528157.0,403395.12,0.78,1.79,5.18,7057141.0
2017-07-10,8000445.0,11744581.0,3678550.0,7504212.0,2277050.0,4531717.0,342852.12,-0.96,1.53,5.13,3313005.0
2017-07-11,5504574.0,9655197.0,2507293.0,5920879.0,1139707.0,3079600.0,278774.41,-0.97,1.24,5.08,-837618.0
2017-07-12,6823309.0,5668497.0,3984929.0,3102348.0,1922523.0,959763.0,251357.41,0.59,1.12,5.11,317194.0
2017-07-13,6260329.0,6037879.0,3825575.0,3268800.0,2284397.0,2460800.0,237699.56,0.78,1.06,5.15,539644.0
2017-07-14,3023713.0,4613067.0,1667191.0,2138006.0,1082891.0,621200.0,148755.02,-0.39,0.66,5.13,-1049710.0
2017-07-17,7532347.0,11913805.0,3973627.0,5964135.0,1944352.0,2872875.0,373304.78,-2.92,1.66,4.98,-5431168.0
2017-07-18,5882987.0,7185703.0,2461000.0,4132607.0,341900.0,2016800.0,232412.31,0.8,1.03,5.02,-6733884.0
2017-07-19,29545040.0,18161888.0,17168758.0,9945080.0,9963801.0,2402600.0,716789.94,5.58,3.19,5.3,4649268.0
2017-07-20,16819079.0,12167750.0,10315712.0,7248585.0,6172354.0,3921892.0,491779.19,0.19,2.19,5.31,9300597.0
2017-07-21,41764993.0,25916944.0,26468790.0,14934962.0,13618802.0,7349853.0,1007212.06,5.46,4.48,5.6,25148646.0
2017-07-24,14673698.0,22528724.0,13503498.0,17989317.0,10430251.0,10750263.0,483984.12,10.0,2.15,6.16,17293620.0
