,in400,out40,in1000,out1000,in2000,out2000,volume,p_change,turnover,close,inoutspan
2017-07-04,0.0,289320.0,0.0,0.0,0.0,0.0,37211.96,-0.87,0.56,11.38,-289320.0
2017-07-05,380200.0,354475.0,0.0,0.0,0.0,0.0,41862.34,0.97,0.63,11.49,-263595.0
2017-07-06,159500.0,533958.0,0.0,239100.0,0.0,0.0,42009.9,-0.61,0.64,11.42,-638053.0
2017-07-07,240187.0,0.0,0.0,0.0,0.0,0.0,34907.87,0.44,0.53,11.47,-397866.0
2017-07-10,1543571.0,401054.0,546400.0,0.0,0.0,0.0,92104.48,1.74,1.39,11.67,744651.0
2017-07-11,555222.0,793020.0,0.0,0.0,0.0,0.0,76374.65,-1.54,1.15,11.49,506853.0
2017-07-12,285100.0,674666.0,0.0,206600.0,0.0,0.0,79870.8,-2.61,1.21,11.19,117287.0
2017-07-13,134800.0,398200.0,0.0,0.0,0.0,0.0,49679.96,0.27,0.75,11.22,-146113.0
2017-07-14,235900.0,1395300.0,108900.0,587400.0,0.0,0.0,69521.32,-2.5,1.05,10.94,-1305513.0
2017-07-17,743750.0,1074908.0,211800.0,0.0,0.0,0.0,89631.42,-3.11,1.36,10.6,-1636671.0
2017-07-18,327700.0,108600.0,0.0,0.0,0.0,0.0,37440.32,1.6,0.57,10.77,-1417571.0
2017-07-19,195700.0,190502.0,0.0,0.0,0.0,0.0,39861.66,1.11,0.6,10.89,-1412373.0
2017-07-20,60000.0,400731.0,0.0,297531.0,0.0,0.0,43193.22,0.0,0.65,10.89,-1753104.0
2017-07-21,858532.0,1031196.0,400000.0,307800.0,400000.0,206900.0,86740.54,4.13,1.31,11.34,-1925768.0
2017-07-24,4817560.0,2344362.0,2151337.0,546600.0,750553.0,0.0,274432.47,8.64,4.15,12.32,547430.0
