,in400,out40,in1000,out1000,in2000,out2000,volume,p_change,turnover,close,inoutspan,in400count,out400count,inout400cout
2017-07-17,51300885.0,36688873.0,29547170.0,17957810.0,16523758.0,6049977.0,1408791.38,2.14,1.3,53.9,14612012.0,503.0,417.0,62.0
2017-07-18,20083123.0,24854376.0,6949193.0,12748903.0,2341567.0,6616506.0,879029.5,-0.8,0.81,53.47,9840759.0,265.0,267.0,28.0
2017-07-19,17801766.0,19011757.0,6407496.0,7244828.0,1573100.0,3037765.0,771180.69,0.69,0.71,53.84,8630768.0,238.0,241.0,13.0
2017-07-20,14214104.0,13702163.0,4283402.0,4552099.0,1446102.0,1385800.0,659198.75,0.32,0.61,54.01,9142709.0,200.0,181.0,19.0
2017-07-21,38206013.0,45970444.0,19604637.0,25469437.0,8518627.0,10791422.0,1294791.88,-3.8,1.2,51.96,1378278.0,412.0,481.0,41.0
2017-07-24,27966189.0,25173345.0,13950756.0,11126864.0,6012935.0,3327123.0,904595.94,1.25,0.84,52.61,4171122.0,304.0,306.0,26.0
2017-07-25,9687672.0,10222085.0,3691265.0,3684472.0,1932665.0,817561.0,506834.84,-0.57,0.47,52.31,3636709.0,120.0,135.0,13.0
2017-07-26,14096249.0,16372916.0,5693909.0,7878987.0,2813737.0,4197572.0,657610.88,-0.8,0.61,51.89,1360042.0,175.0,188.0,2.0
2017-07-27,14255114.0,14225290.0,5449226.0,6979741.0,2118200.0,3092500.0,667132.94,0.91,0.62,52.36,1389866.0,185.0,166.0,12.0
2017-07-28,9061538.0,9758051.0,3323395.0,2882478.0,690602.0,1162400.0,491294.72,-0.9,0.45,51.89,693353.0,123.0,137.0,9.0
2017-07-31,12182700.0,15659743.0,5185331.0,6260777.0,1152041.0,1605916.0,616005.06,0.25,0.57,52.02,-2783690.0,152.0,202.0,11.0
2017-08-01,40095994.0,30070945.0,23337176.0,14779416.0,12031592.0,6109796.0,1147936.62,5.44,1.06,54.85,7241359.0,393.0,339.0,44.0
2017-08-02,13609052.0,19162540.0,5423039.0,9044286.0,2072827.0,5114521.0,723817.44,-1.48,0.67,54.04,1687871.0,173.0,209.0,24.0
2017-08-03,10127160.0,13594245.0,2915446.0,7708552.0,1483950.0,4964394.0,565311.62,-2.07,0.52,52.92,-1779214.0,139.0,140.0,16.0
2017-08-04,13492804.0,15189901.0,5942218.0,7060155.0,2084002.0,3194880.0,666087.38,-1.85,0.61,51.94,-3476311.0,160.0,177.0,22.0
