,in400,out40,in1000,out1000,in2000,out2000,volume,p_change,turnover,close,inoutspan,in400count,out400count,inout400cout
2017-07-12,83242060.0,77217425.0,55209006.0,51763334.0,33342185.0,32163898.0,2126115.5,5.64,12.37,19.48,6024635.0,681.0,623.0,61.0
2017-07-13,119330436.0,113600735.0,93180649.0,86632889.0,61491648.0,57708720.0,2896869.5,-4.47,16.85,18.61,11754336.0,770.0,794.0,132.0
2017-07-14,77400219.0,69456564.0,55495540.0,47569903.0,34846780.0,28563872.0,1930050.38,3.22,11.23,19.21,19697991.0,583.0,566.0,54.0
2017-07-17,76477734.0,81752217.0,47464857.0,56148681.0,25405700.0,34991887.0,2168751.25,1.09,12.62,19.42,14423508.0,692.0,666.0,90.0
2017-07-18,105617441.0,74339386.0,73592710.0,45909108.0,44604643.0,21919281.0,2361479.25,9.94,13.74,21.35,45701563.0,816.0,696.0,116.0
2017-07-19,89327409.0,90542155.0,58611962.0,60311094.0,35245137.0,33040770.0,2418913.0,8.81,14.07,23.23,44486817.0,741.0,764.0,113.0
2017-07-20,69451047.0,74619093.0,40157560.0,46501624.0,19809107.0,24107234.0,2039799.5,2.45,11.87,23.8,39318771.0,674.0,687.0,110.0
2017-07-21,45094469.0,44391989.0,24771385.0,24408329.0,11371108.0,10987543.0,1409481.25,-0.97,8.2,23.57,40021251.0,457.0,456.0,70.0
2017-07-24,78550502.0,63370817.0,51157922.0,42224142.0,32644841.0,22834372.0,1969114.0,10.01,11.45,25.93,55200936.0,651.0,548.0,79.0
2017-07-25,94569267.0,81494292.0,61714926.0,55803669.0,32252469.0,31737744.0,2390651.0,6.02,13.91,27.49,68275911.0,822.0,677.0,142.0
2017-07-26,90543387.0,80453122.0,53702298.0,47266057.0,29519739.0,23100193.0,2366096.75,3.75,13.76,28.52,78366176.0,846.0,792.0,142.0
2017-07-27,51055110.0,61025882.0,27558324.0,37050679.0,13168588.0,20082834.0,1691180.12,-1.54,9.84,28.08,68395404.0,524.0,571.0,78.0
2017-07-28,87216481.0,60340396.0,62573439.0,36536678.0,42328713.0,19188037.0,2077997.62,10.01,12.09,30.89,95271489.0,608.0,556.0,117.0
