,in400,out40,in1000,out1000,in2000,out2000,volume,p_change,turnover,close,inoutspan
2017-07-03,0.0,100600.0,0.0,0.0,0.0,0.0,49628.53,-2.43,0.4,460.37,-100600.0
2017-07-04,0.0,0.0,0.0,0.0,0.0,0.0,56488.95,-1.83,0.45,451.92,0.0
2017-07-05,0.0,0.0,0.0,0.0,0.0,0.0,37540.32,1.82,0.3,460.13,0.0
2017-07-06,50980.0,54200.0,0.0,0.0,0.0,0.0,42044.39,-0.9,0.33,455.98,-103820.0
2017-07-07,43100.0,53400.0,0.0,0.0,0.0,0.0,37796.47,-0.72,0.3,445.97,-114120.0
2017-07-10,116501.0,0.0,0.0,0.0,0.0,0.0,36624.09,1.91,0.29,454.47,2381.0
2017-07-11,0.0,0.0,0.0,0.0,0.0,0.0,44601.82,1.91,0.36,463.13,0.0
2017-07-12,0.0,0.0,0.0,0.0,0.0,0.0,28950.72,-1.22,0.23,457.47,0.0
2017-07-13,0.0,0.0,0.0,0.0,0.0,0.0,25951.35,-0.29,0.21,456.16,0.0
2017-07-14,0.0,0.0,0.0,0.0,0.0,0.0,17726.57,0.06,0.14,456.41,0.0
2017-07-17,0.0,82800.0,0.0,0.0,0.0,0.0,35263.68,-1.39,0.28,450.07,-80419.0
2017-07-18,0.0,0.0,0.0,0.0,0.0,0.0,30684.49,0.55,0.24,452.55,0.0
2017-07-19,203003.0,116100.0,102000.0,116100.0,0.0,0.0,56259.94,0.95,0.45,456.86,6484.0
2017-07-20,126000.0,0.0,0.0,0.0,0.0,0.0,46634.87,2.1,0.37,466.47,132484.0
2017-07-21,70700.0,70300.0,0.0,0.0,0.0,0.0,46792.41,1.44,0.37,473.2,132884.0
