,in400,out40,in1000,out1000,in2000,out2000,volume,p_change,turnover,close,inoutspan,in400count,out400count,inout400cout
2017-07-05,47957089.0,31034714.0,27717300.0,15219652.0,16734399.0,8611488.0,1272537.25,5.22,1.17,50.42,16922375.0,454.0,337.0,56.0
2017-07-06,36737163.0,30187051.0,19453867.0,14450449.0,8732193.0,6312217.0,1137814.75,1.92,1.05,51.39,23472487.0,387.0,349.0,32.0
2017-07-07,10564771.0,11288121.0,3814546.0,4235732.0,1772178.0,956000.0,533926.0,-0.74,0.49,51.01,22749137.0,139.0,153.0,8.0
2017-07-10,13519009.0,12980917.0,6523381.0,5803848.0,1942281.0,863100.0,570776.0,0.23,0.53,51.13,23287229.0,161.0,158.0,7.0
2017-07-11,22956934.0,13110940.0,12556092.0,4804253.0,6886309.0,1273037.0,699539.62,1.28,0.65,51.23,33133223.0,238.0,175.0,10.0
2017-07-12,23313333.0,21626099.0,9347771.0,7823279.0,2988303.0,4143235.0,870117.31,-1.21,0.8,50.61,34820457.0,294.0,271.0,25.0
2017-07-13,15651552.0,14129912.0,6998627.0,3335958.0,3020598.0,205800.0,665343.0,2.02,0.61,51.63,36342097.0,184.0,207.0,21.0
2017-07-14,18944953.0,13616243.0,8428930.0,5298598.0,3709440.0,1498584.0,707791.62,2.21,0.65,52.77,41670807.0,220.0,176.0,21.0
2017-07-17,51300885.0,36688873.0,29547170.0,17957810.0,16523758.0,6049977.0,1408791.38,2.14,1.3,53.9,56282819.0,503.0,417.0,62.0
2017-07-18,20083123.0,24854376.0,6949193.0,12748903.0,2341567.0,6616506.0,879029.5,-0.8,0.81,53.47,51511566.0,265.0,267.0,28.0
2017-07-19,17801766.0,19011757.0,6407496.0,7244828.0,1573100.0,3037765.0,771180.69,0.69,0.71,53.84,50301575.0,238.0,241.0,13.0
2017-07-20,14214104.0,13702163.0,4283402.0,4552099.0,1446102.0,1385800.0,659198.75,0.32,0.61,54.01,50813516.0,200.0,181.0,19.0
2017-07-21,38206013.0,45970444.0,19604637.0,25469437.0,8518627.0,10791422.0,1294791.88,-3.8,1.2,51.96,43049085.0,412.0,481.0,41.0
2017-07-24,27966189.0,25173345.0,13950756.0,11126864.0,6012935.0,3327123.0,904595.94,1.25,0.84,52.61,45841929.0,304.0,306.0,26.0
2017-07-25,9687672.0,10222085.0,3691265.0,3684472.0,1932665.0,817561.0,506834.84,-0.57,0.47,52.31,45307516.0,120.0,135.0,13.0
