,in400,out40,in1000,out1000,in2000,out2000,volume,p_change,turnover,close,inoutspan,in400count,out400count,inout400cout
2017-07-12,26027586.0,21451898.0,15128611.0,11128861.0,7624274.0,4673614.0,858003.94,1.08,0.42,24.34,4575688.0,255.0,244.0,7.0
2017-07-13,12365945.0,10190533.0,5285502.0,3599648.0,1986300.0,1287050.0,559404.19,2.3,0.27,24.9,6751100.0,158.0,132.0,12.0
2017-07-14,10769829.0,10854818.0,4729845.0,4716643.0,600629.0,892700.0,508060.28,1.12,0.25,25.18,6666111.0,138.0,139.0,9.0
2017-07-17,18833511.0,16913038.0,8504526.0,7634049.0,2598706.0,3194091.0,709287.5,-0.28,0.34,25.11,8586584.0,222.0,202.0,13.0
2017-07-18,13458616.0,13903782.0,6572358.0,4823443.0,3508323.0,2423400.0,645346.56,-2.35,0.31,24.52,8141418.0,153.0,183.0,8.0
2017-07-19,16716032.0,14473453.0,6304372.0,5841692.0,2993283.0,2118457.0,630770.94,2.85,0.31,25.22,10383997.0,212.0,179.0,15.0
2017-07-20,12139457.0,11865436.0,4974288.0,5069636.0,1806420.0,2461118.0,514337.44,-0.08,0.25,25.2,10658018.0,153.0,152.0,9.0
2017-07-21,4856400.0,6623602.0,2678656.0,2509058.0,709900.0,1281576.0,327647.47,-1.82,0.16,24.74,8890816.0,52.0,90.0,1.0
2017-07-24,21077439.0,11929950.0,11355565.0,5601496.0,6912649.0,3746296.0,625922.0,3.92,0.3,25.71,18038305.0,219.0,132.0,6.0
2017-07-25,18735413.0,23050815.0,9678044.0,12875775.0,4837649.0,5916123.0,743945.06,-0.7,0.36,25.53,13722903.0,210.0,238.0,22.0
2017-07-26,7974423.0,10792110.0,2601348.0,4874082.0,1141848.0,2032294.0,463343.12,-0.27,0.22,25.46,10905216.0,105.0,126.0,9.0
2017-07-27,8949538.0,5972851.0,3646944.0,2840867.0,1705800.0,1124900.0,434532.31,1.73,0.21,25.9,13881903.0,107.0,70.0,3.0
2017-07-28,4086033.0,5964544.0,2127318.0,3130215.0,1331326.0,1221205.0,280361.97,-0.46,0.14,25.78,12003392.0,43.0,70.0,2.0
