,in400,out40,in1000,out1000,in2000,out2000,volume,p_change,turnover,close,inoutspan,in400count,out400count,inout400cout
2017-07-12,4743315.0,8690144.0,1802971.0,4126670.0,997671.0,1645600.0,425620.91,-2.91,0.68,41.7,-3946829.0,60.0,101.0,9.0
2017-07-13,5429004.0,3290073.0,2366765.0,702600.0,1094264.0,224600.0,276967.59,0.69,0.44,41.99,-1807898.0,64.0,52.0,5.0
2017-07-14,3140856.0,2569476.0,1519656.0,975635.0,557200.0,503901.0,231618.58,0.43,0.37,42.17,-1236518.0,36.0,33.0,1.0
2017-07-17,7395835.0,11906900.0,3132374.0,5405698.0,666626.0,2459531.0,460487.69,-1.21,0.73,41.66,-5747583.0,93.0,140.0,5.0
2017-07-18,5244186.0,7654166.0,2808986.0,3207210.0,1298250.0,817975.0,375815.25,-1.58,0.6,41.0,-8157563.0,57.0,99.0,6.0
2017-07-19,4513760.0,3606960.0,2595619.0,966600.0,1137509.0,380400.0,315191.78,0.54,0.5,41.22,-7250763.0,50.0,50.0,5.0
2017-07-20,11232164.0,6709965.0,6192740.0,3322966.0,4080690.0,1422600.0,466366.59,2.5,0.74,42.25,-2728564.0,113.0,80.0,10.0
2017-07-21,4127962.0,5242290.0,1577517.0,2629963.0,662001.0,307155.0,295039.66,-0.83,0.47,41.9,-3842892.0,52.0,64.0,2.0
2017-07-24,15885851.0,10509532.0,8790171.0,3277200.0,5436715.0,931600.0,605221.62,3.63,0.96,43.42,1533427.0,162.0,145.0,11.0
2017-07-25,3955888.0,6822791.0,1452075.0,2887311.0,643600.0,1687774.0,327367.12,0.0,0.52,43.42,-1333476.0,52.0,87.0,4.0
2017-07-26,4411082.0,7337013.0,1489159.0,2184397.0,720710.0,1080100.0,389176.47,-2.49,0.62,42.34,-4259407.0,56.0,98.0,3.0
2017-07-27,4583070.0,11544696.0,1119932.0,6796285.0,553300.0,3113882.0,418006.81,-2.69,0.67,41.2,-11221033.0,68.0,110.0,3.0
2017-07-28,2795510.0,3083350.0,1009861.0,424800.0,0.0,0.0,240932.41,0.48,0.38,41.4,-11508873.0,37.0,50.0,2.0
2017-07-31,5022926.0,7807852.0,2278251.0,1764540.0,1045310.0,763200.0,330136.94,-0.48,0.53,41.2,-14293799.0,61.0,118.0,3.0
2017-08-01,5238063.0,6848541.0,1523542.0,1860463.0,601500.0,672800.0,343033.88,-0.02,0.55,41.19,-15904277.0,70.0,99.0,7.0
