,code,name,p_change,price,change,open,high,low,preprice,pe,volratio,turnover,range,volume,selling,buying,amount,totals,industry,area,floats,fvalues,abvalues,avgprice,strength,activity,avgturnover,attack,interval3,interval6
214,600141,兴发集团,3.76,17.13,0.62,16.71,17.35,16.71,16.51,39.12,1.36,5.38,3.88,269392,125270,144121,459127104,50072.08,化工原料,湖北,50072.08,85.77,85.77,17.04,3.2,3200,0.0017,2.51,43.59,23.5
215,300659,中孚信息,3.74,32.47,1.17,31.55,32.59,31.43,31.3,0.0,1.03,9.91,3.71,20216,8711,11505,65012376,8160.0,软件服务,山东,2040.0,6.62,26.5,32.16,3.02,1444,0.0069,3.31,110.57,110.57
216,300635,达安股份,3.72,27.61,0.99,26.66,27.77,26.61,26.62,51.24,1.24,5.21,4.36,11044,4730,6314,30158684,8480.0,建筑施工,广东,2120.0,5.85,23.41,27.31,3.01,823,0.0063,3.76,-20.96,69.49
217,002886,沃特股份,3.71,30.45,1.09,29.35,30.79,29.23,29.36,67.52,1.73,11.0,5.31,21578,9006,12571,65124404,7843.14,塑料,深圳,1960.8,5.97,23.88,30.18,3.0,1617,0.0068,4.17,91.63,91.63
218,002127,南极电商,3.7,14.57,0.52,14.05,14.65,13.81,14.05,217.02,2.16,1.6,5.98,155094,82226,72868,219721648,153825.95,互联网,江苏,96815.39,141.06,224.12,14.17,2.99,3053,0.0005,5.5,19.13,36.17
219,600596,新安股份,3.68,11.54,0.41,11.25,11.84,11.2,11.13,32.6,1.28,5.51,5.75,374193,182000,192193,431353856,70541.46,农药化肥,浙江,67918.46,78.38,81.4,11.53,3.13,3683,0.0015,3.04,48.33,17.64
220,603728,鸣志电器,3.68,21.71,0.77,21.05,21.79,21.04,20.94,45.72,1.15,5.62,3.58,44923,15068,29854,96747976,32000.0,电气设备,上海,8000.0,17.37,69.47,21.54,3.12,1679,0.0033,3.18,-23.5,61.05
221,000708,大冶特钢,3.65,13.05,0.46,12.73,13.08,12.61,12.59,15.49,1.29,2.23,3.73,100016,40895,59120,128556256,44940.85,特种钢,湖北,44940.85,58.65,58.65,12.85,2.94,2153,0.001,3.49,18.96,-4.95
222,300208,恒顺众昇,3.65,17.31,0.61,16.66,17.44,16.66,16.7,26.48,1.45,2.35,4.67,144882,65671,79210,247657632,76652.5,电气设备,山东,61620.46,106.67,132.69,17.09,2.94,2233,0.0011,3.9,13.51,6.98
223,603999,读者传媒,3.64,10.24,0.36,9.9,10.66,9.83,9.88,103.33,2.58,4.49,8.4,103352,51329,52022,106318608,57600.0,出版业,甘肃,23040.0,23.59,58.98,10.29,3.09,2123,0.0021,4.17,-6.14,-27.73
224,603689,皖天然气,3.63,14.86,0.52,14.48,14.99,14.38,14.34,32.73,2.09,8.16,4.25,68580,29246,39334,100858352,33600.0,供气供热,安徽,8400.0,12.48,49.93,14.71,3.07,2139,0.0038,3.34,-41.1,-16.89
225,600521,华海药业,3.61,20.09,0.7,19.54,20.14,19.54,19.39,37.38,2.48,0.52,3.09,52880,19867,33012,105590408,104249.03,化学制药,浙江,102433.43,205.79,209.44,19.97,3.05,1642,0.0003,2.81,3.99,-0.4
226,603819,神力股份,3.6,23.02,0.8,22.25,23.05,22.21,22.22,63.39,0.89,6.33,3.78,18992,8778,10213,43215816,12000.0,电气设备,江苏,3000.0,6.91,27.62,22.76,3.04,1064,0.0059,3.65,-20.37,-37.48
