,in400,out40,in1000,out1000,in2000,out2000,volume,p_change,turnover,close,inoutspan,in400count,out400count,inout400cout
2017-07-17,7395835,11906900,3132374,5405698,666626,2459531,460487.69,-1.21,0.73,41.66,-4511065,93,140,5
2017-07-18,5244186,7654166,2808986,3207210,1298250,817975,375815.25,-1.58,0.6,41,-6921045,57,99,6
2017-07-19,4513760,3606960,2595619,966600,1137509,380400,315191.78,0.54,0.5,41.22,-6014245,50,50,5
2017-07-20,11232164,6709965,6192740,3322966,4080690,1422600,466366.59,2.5,0.74,42.25,-1492046,113,80,10
2017-07-21,4127962,5242290,1577517,2629963,662001,307155,295039.66,-0.83,0.47,41.9,-2606374,52,64,2
2017-07-24,15885851,10509532,8790171,3277200,5436715,931600,605221.62,3.63,0.96,43.42,2769945,162,145,11
2017-07-25,3955888,6822791,1452075,2887311,643600,1687774,327367.12,0,0.52,43.42,-96958,52,87,4
2017-07-26,4411082,7337013,1489159,2184397,720710,1080100,389176.47,-2.49,0.62,42.34,-3022889,56,98,3
2017-07-27,4583070,11544696,1119932,6796285,553300,3113882,418006.81,-2.69,0.67,41.2,-9984515,68,110,3
2017-07-28,2795510,3083350,1009861,424800,0,0,240932.41,0.48,0.38,41.4,-10272355,37,50,2
2017-07-31,5022926,7807852,2278251,1764540,1045310,763200,330136.94,-0.48,0.53,41.2,-13057281,61,118,3
2017-08-01,5238063,6848541,1523542,1860463,601500,672800,343033.88,-0.02,0.55,41.19,-14667759,70,99,7
2017-08-02,2229977,4020721,407257,1775930,0,968200,257015.84,-0.95,0.41,40.8,-16458503,37,47,4
2017-08-03,3831243,7191171,1527069,3541123,507924,1125306,357730.16,-1.76,0.57,40.08,-19818431,49,83,3
2017-08-04,3085043,4677698,210500,1165049,0,0,307044.81,-1.57,0.49,39.45,-21411086,51,67,4
