,in400,out40,in1000,out1000,in2000,out2000,volume,p_change,turnover,close,inoutspan,in400count,out400count,inout400cout
2017-07-12,23313333.0,21626099.0,9347771.0,7823279.0,2988303.0,4143235.0,870117.31,-1.21,0.8,50.61,1687234.0,294.0,271.0,25.0
2017-07-13,15651552.0,14129912.0,6998627.0,3335958.0,3020598.0,205800.0,665343.0,2.02,0.61,51.63,3208874.0,184.0,207.0,21.0
2017-07-14,18944953.0,13616243.0,8428930.0,5298598.0,3709440.0,1498584.0,707791.62,2.21,0.65,52.77,8537584.0,220.0,176.0,21.0
2017-07-17,51300885.0,36688873.0,29547170.0,17957810.0,16523758.0,6049977.0,1408791.38,2.14,1.3,53.9,23149596.0,503.0,417.0,62.0
2017-07-18,20083123.0,24854376.0,6949193.0,12748903.0,2341567.0,6616506.0,879029.5,-0.8,0.81,53.47,18378343.0,265.0,267.0,28.0
2017-07-19,17801766.0,19011757.0,6407496.0,7244828.0,1573100.0,3037765.0,771180.69,0.69,0.71,53.84,17168352.0,238.0,241.0,13.0
2017-07-20,14214104.0,13702163.0,4283402.0,4552099.0,1446102.0,1385800.0,659198.75,0.32,0.61,54.01,17680293.0,200.0,181.0,19.0
2017-07-21,38206013.0,45970444.0,19604637.0,25469437.0,8518627.0,10791422.0,1294791.88,-3.8,1.2,51.96,9915862.0,412.0,481.0,41.0
2017-07-24,27966189.0,25173345.0,13950756.0,11126864.0,6012935.0,3327123.0,904595.94,1.25,0.84,52.61,12708706.0,304.0,306.0,26.0
2017-07-25,9687672.0,10222085.0,3691265.0,3684472.0,1932665.0,817561.0,506834.84,-0.57,0.47,52.31,12174293.0,120.0,135.0,13.0
2017-07-26,14096249.0,16372916.0,5693909.0,7878987.0,2813737.0,4197572.0,657610.88,-0.8,0.61,51.89,9897626.0,175.0,188.0,2.0
2017-07-27,14255114.0,14225290.0,5449226.0,6979741.0,2118200.0,3092500.0,667132.94,0.91,0.62,52.36,9927450.0,185.0,166.0,12.0
2017-07-28,9061538.0,9758051.0,3323395.0,2882478.0,690602.0,1162400.0,491294.72,-0.9,0.45,51.89,9230937.0,123.0,137.0,9.0
2017-07-31,12182700.0,15659743.0,5185331.0,6260777.0,1152041.0,1605916.0,616005.06,0.25,0.57,52.02,5753894.0,152.0,202.0,11.0
2017-08-01,40095994.0,30070945.0,23337176.0,14779416.0,12031592.0,6109796.0,1147936.62,5.44,1.06,54.85,15778943.0,393.0,339.0,44.0
