,in400,out40,in1000,out1000,in2000,out2000,volume,p_change,turnover,close,inoutspan,in400count,out400count,inout400cout
2017-07-12,8710988.0,11941022.0,4209868.0,5945132.0,3155792.0,3908007.0,562587.44,-2.94,0.78,29.71,-3230034.0,94.0,128.0,5.0
2017-07-13,9920561.0,9460702.0,4999322.0,4855276.0,1181032.0,2922303.0,495408.53,1.31,0.68,30.1,-2770175.0,111.0,100.0,2.0
2017-07-14,4340560.0,3107908.0,2906756.0,1734603.0,1987706.0,450300.0,304299.41,0.1,0.42,30.13,-1537523.0,36.0,37.0,3.0
2017-07-17,5936081.0,11931283.0,1676425.0,4932691.0,917875.0,2472750.0,490712.03,-1.16,0.68,29.78,-7532725.0,83.0,138.0,12.0
2017-07-18,14272743.0,12653294.0,7195383.0,4784559.0,3033376.0,1936174.0,681116.31,-3.06,0.94,28.87,-5913276.0,158.0,155.0,13.0
2017-07-19,13214651.0,8369741.0,7334837.0,3441392.0,4184357.0,1890439.0,574521.69,3.81,0.79,29.97,-1068366.0,135.0,97.0,12.0
2017-07-20,5455431.0,5919851.0,2031316.0,3293775.0,1148346.0,2244800.0,399975.97,0.1,0.55,30.0,-1532786.0,66.0,60.0,2.0
2017-07-21,15998584.0,14700860.0,6649155.0,6895392.0,2733625.0,3196550.0,671325.75,1.97,0.92,30.59,-235062.0,193.0,165.0,15.0
2017-07-24,5749731.0,7328137.0,1471198.0,2751402.0,308200.0,1916800.0,462475.81,-0.42,0.64,30.46,-1813468.0,82.0,91.0,10.0
2017-07-25,4960656.0,3747387.0,2359315.0,1126664.0,1377908.0,664000.0,355430.16,0.2,0.49,30.52,-600199.0,59.0,50.0,2.0
2017-07-26,3217319.0,8416660.0,914996.0,4455597.0,255100.0,2795456.0,422396.16,-2.56,0.58,29.74,-5799540.0,44.0,89.0,5.0
2017-07-27,2169679.0,2110694.0,761107.0,699157.0,447600.0,554058.0,275822.81,0.81,0.38,29.98,-5740555.0,30.0,27.0,4.0
2017-07-28,841807.0,1788278.0,410550.0,774345.0,0.0,579045.0,204547.56,-0.37,0.28,29.87,-6687026.0,11.0,21.0,3.0
2017-07-31,6223280.0,3687331.0,3071563.0,1560210.0,1550558.0,311300.0,318743.97,0.43,0.44,30.0,-4151077.0,73.0,46.0,1.0
2017-08-01,3125592.0,4266333.0,1430325.0,2438019.0,1133000.0,1569519.0,284599.34,-1.0,0.39,29.7,-5291818.0,33.0,40.0,1.0
